"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Alcedo atthis";"Grote Nete";"ANN";193;-0,947;0,973896093783672;0,212333921684368;0,652364954771526;0,719151670143636
"Alcedo atthis";"Grote Nete";"CTA";193;-0,947;0,748339443946223;0,012960924113688;0,20857273369979;0,318383914505464
"Alcedo atthis";"Grote Nete";"FDA";193;-0,947;0,0335333475374981;0,0229428195929763;0,420520021779101;0,85912235120249
"Alcedo atthis";"Grote Nete";"GAM";193;-0,947;0,0819787263222012;0,156931139538741;0,788583139907134;0,720588706309431
"Alcedo atthis";"Grote Nete";"GBM";193;-0,947;0,0294886540277213;0,170565593320871;0,849034063194697;0,630813264822498
"Alcedo atthis";"Grote Nete";"GLM";193;-0,947;0,277862138604005;0,0362062202538198;0,512657948096933;0,452757111227867
"Alcedo atthis";"Grote Nete";"RF";193;-0,947;0,949459849712904;0,369767689865354;0,944091925006749;0,874868063577945
"Alcedo atthis";"Grote Nete";"SRE";193;-0,947;NA;0,107012846617123;0,748573932333233;0,740381531336182
"Anthus trivialis";"Grote Nete";"ANN";99;-0,944;0,607803565470303;0,230880115470575;0,941628526220949;0,91265955229207
"Anthus trivialis";"Grote Nete";"CTA";99;-0,944;0,0880382839524138;0,00698465543237306;0,347344402651128;0,397366274006282
"Anthus trivialis";"Grote Nete";"FDA";99;-0,944;0,142421868557047;0,00709177225394516;0,527631494045153;0,429568181057135
"Anthus trivialis";"Grote Nete";"GAM";99;-0,944;0,259832379123292;0,00322215910141788;0,595933990807964;0,39351258744497
"Anthus trivialis";"Grote Nete";"GBM";99;-0,944;0,857762991903357;0,0000770989305986218;0,25771094197739;0,315020821188347
"Anthus trivialis";"Grote Nete";"GLM";99;-0,944;0,146252428228365;0,017796383081958;0,775738630456539;0,709561327626463
"Anthus trivialis";"Grote Nete";"RF";99;-0,944;0,909149863876352;0,0000159932975000003;0,14434171766141;0,104280222676529
"Anthus trivialis";"Grote Nete";"SRE";99;-0,944;NA;0,00041771211449326;0,381073448126515;0,354898110557216
"Castor fiber";"Grote Nete";"ANN";41;-0,665;0,58178812889534;0,453298406429532;0,251468939900473;0,276913160945317
