"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Alteragris belgiumensis";"Grote Nete";"ANN";100;0,317;0,849041763617023;0,0393040921773309;0,030262774815905;0,0173100035005646
"Alteragris belgiumensis";"Grote Nete";"CTA";100;0,317;0,128687205200799;0,00853697952574976;0,00548750162629088;0,00172606374520936
"Alteragris belgiumensis";"Grote Nete";"FDA";100;0,317;0,994293586661642;0,122914731255423;0,100690472891653;0,0483189306521212
"Alteragris belgiumensis";"Grote Nete";"GAM";100;0,317;0,155812938980351;0,185026691542468;0,153993929598602;0,00912786213028839
"Alteragris belgiumensis";"Grote Nete";"GBM";100;0,317;NA;NA;NA;NA
"Alteragris belgiumensis";"Grote Nete";"GLM";100;0,317;0,735812053877653;0,24769682713412;0,206672860389375;0,0327115935098017
"Alteragris belgiumensis";"Grote Nete";"RF";100;0,317;0,991693886358186;0,00316299160111575;0,00209910947376162;0,000221294349573139
"Alteragris belgiumensis";"Grote Nete";"SRE";100;0,317;NA;0,00943443152408455;0,00606178458970134;0,00610182803591819
"Fugiagrisbelgiumensis";"Grote Nete";"ANN";300;0,89;0,256484701293211;0,999567970975326;0,855669520712198;0,954556937425396
"Fugiagrisbelgiumensis";"Grote Nete";"CTA";300;0,89;0,480101101404666;0,993779600106538;0,874146168797903;0,90479833104937
"Fugiagrisbelgiumensis";"Grote Nete";"FDA";300;0,89;0,456712664837957;0,999610261872361;0,947728151202853;0,869765547701482
"Fugiagrisbelgiumensis";"Grote Nete";"GAM";300;0,89;0,168196550778646;0,999631307173408;0,853036356998029;0,955998027252115
"Fugiagrisbelgiumensis";"Grote Nete";"GBM";300;0,89;NA;NA;NA;NA
"Fugiagrisbelgiumensis";"Grote Nete";"GLM";300;0,89;0,206571855139613;0,999238306829771;0,812788378713069;0,952111763003659
"Fugiagrisbelgiumensis";"Grote Nete";"RF";300;0,89;0,161935228681511;0,99993938020085;0,985159562374979;0,934688430537101
"Fugiagrisbelgiumensis";"Grote Nete";"SRE";300;0,89;NA;0,977529826156828;0,795919190395831;0,793784952474481
"Philocourdogenos belgiumensis";"Grote Nete";"ANN";300;0,961;0,9999998936155;0,590771296865791;0,829355536959685;0,0929087854363755
"Philocourdogenos belgiumensis";"Grote Nete";"CTA";300;0,961;0,435209300706053;0,081122224829657;0,286876088035814;0,16371594529464
"Philocourdogenos belgiumensis";"Grote Nete";"FDA";300;0,961;0,974876309956779;0,60790836542772;0,839980712372278;0,47603804216657
"Philocourdogenos belgiumensis";"Grote Nete";"GAM";300;0,961;0,999997158298326;0,934562368413775;0,983320758403464;0,551422758295135
"Philocourdogenos belgiumensis";"Grote Nete";"GBM";300;0,961;NA;NA;NA;NA
"Philocourdogenos belgiumensis";"Grote Nete";"GLM";300;0,961;0,999999993843853;0,572489475929548;0,793879954688766;0,322953616553703
"Philocourdogenos belgiumensis";"Grote Nete";"RF";300;0,961;0,999999993360337;0,917272656642869;0,974865745032652;0,134852008656797
"Philocourdogenos belgiumensis";"Grote Nete";"SRE";300;0,961;NA;0,00381556896783215;0,0462487187150239;0,0466239380284343
"Philocourdos belgiumensis";"Grote Nete";"ANN";300;0,764;0,963916353395907;0,00259878255404812;0,0152293548988295;0,00317169293372266
"Philocourdos belgiumensis";"Grote Nete";"CTA";300;0,764;0,304888908898797;0,000000000692755983226784;0,000000724616017175013;0,000000654175029608004
"Philocourdos belgiumensis";"Grote Nete";"FDA";300;0,764;0,756260407768743;0,00000000667725059359665;0,00000210025987706469;0,00000178445460998609
"Philocourdos belgiumensis";"Grote Nete";"GAM";300;0,764;0,936570195069007;0,0000116305608146882;0,00230499736921869;0,0000194766671799856
"Philocourdos belgiumensis";"Grote Nete";"GBM";300;0,764;NA;NA;NA;NA
"Philocourdos belgiumensis";"Grote Nete";"GLM";300;0,764;0,943978600082625;0,0000484855804955285;0,0040158047017298;0,0000684282178983207
"Philocourdos belgiumensis";"Grote Nete";"RF";300;0,764;0,404892013652932;0,0000849800813150388;0,00556579560182168;0,00000284120526503312
"Philocourdos belgiumensis";"Grote Nete";"SRE";300;0,764;NA;0,000000345555998032603;0,0000870544786411057;0,0000853063926947377
"Philograss belgiumensis";"Grote Nete";"ANN";100;0,62;0,182623112509796;0,918241621733933;0,92177013040476;0,935822339118809
"Philograss belgiumensis";"Grote Nete";"CTA";100;0,62;0,0247617041760315;0,920874017754259;0,924945419309766;0,864508195072863
"Philograss belgiumensis";"Grote Nete";"FDA";100;0,62;0,165930414983313;0,878781271418528;0,883707323936651;0,975083082512535
"Philograss belgiumensis";"Grote Nete";"GAM";100;0,62;0,939318565968198;0,795835053593674;0,800798266361193;0,805017586649202
"Philograss belgiumensis";"Grote Nete";"GBM";100;0,62;NA;NA;NA;NA
"Philograss belgiumensis";"Grote Nete";"GLM";100;0,62;0,374072029654128;0,869749442114536;0,875026259552119;0,933357240580758
"Philograss belgiumensis";"Grote Nete";"RF";100;0,62;0,681534106005775;0,998877974717553;0,998966468063771;0,999764276216962
"Philograss belgiumensis";"Grote Nete";"SRE";100;0,62;NA;0,640646884743083;0,653110623320986;0,65353046356219
"Philoherbagenos belgiumensis";"Grote Nete";"ANN";80;0,634;0,717000149595117;0,00907620233175469;0,233377072922069;0,340481762234708
"Philoherbagenos belgiumensis";"Grote Nete";"CTA";80;0,634;0,772992151680143;0,00167610081684586;0,147043346679542;0,187892358691312
