"Species";"Site";"Model";"CV";"PA";"Group";"Nb Occ.";"Sample Bias";"Jaccard";"Bray-Curtis";"Boyce";"cAUC";"AUC";"TSS"
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA1";"Uncorrected";165;0,745;1;0,861134511565761;0,846;0,712739295099706;0,805;0,485
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA1";"Corrected";165;0,745;1;0,861134511565761;0,831;0,741834614016364;0,77;0,479
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA2";"Uncorrected";165;0,745;1;0,861134511565761;0,913;0,764739295099706;0,857;0,606
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA2";"Corrected";165;0,745;1;0,861134511565761;0,927;0,746834614016364;0,775;0,515
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA3";"Uncorrected";165;0,745;1;0,861134511565761;0,96;0,752739295099706;0,845;0,606
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA3";"Corrected";165;0,745;1;0,861134511565761;0,866;0,736834614016364;0,765;0,545
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA4";"Uncorrected";165;0,745;1;0,861134511565761;0,894;0,755739295099706;0,848;0,606
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA4";"Corrected";165;0,745;1;0,861134511565761;0,882;0,732834614016364;0,761;0,509
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA5";"Uncorrected";165;0,745;1;0,861134511565761;0,893;0,789739295099706;0,882;0,636
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA5";"Corrected";165;0,745;1;0,861134511565761;0,952;0,764834614016364;0,793;0,515
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA6";"Uncorrected";165;0,745;1;0,861134511565761;0,913;0,773739295099706;0,866;0,667
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA6";"Corrected";165;0,745;1;0,861134511565761;0,712;0,757834614016364;0,786;0,536
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA7";"Uncorrected";165;0,745;1;0,861134511565761;0,727;0,768739295099706;0,861;0,636
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA7";"Corrected";165;0,745;1;0,861134511565761;0,805;0,787834614016364;0,816;0,634
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA8";"Uncorrected";165;0,745;1;0,861134511565761;0,922;0,663739295099706;0,756;0,515
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA8";"Corrected";165;0,745;1;0,861134511565761;0,939;0,748834614016364;0,777;0,506
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA9";"Uncorrected";165;0,745;1;0,861134511565761;0,875;0,746739295099706;0,839;0,545
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA9";"Corrected";165;0,745;1;0,861134511565761;0,857;0,825834614016364;0,854;0,667
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA10";"Uncorrected";165;0,745;1;0,861134511565761;0,841;0,676739295099706;0,769;0,455
"Actitis hypoleucos";"Trondheim";"GLM";"RUN1";"PA10";"Corrected";165;0,745;1;0,861134511565761;0,895;0,735834614016364;0,764;0,424
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA1";"Uncorrected";165;0,745;1;0,861134511565761;0,888;0,711739295099706;0,804;0,545
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA1";"Corrected";165;0,745;1;0,861134511565761;0,901;0,801834614016364;0,83;0,633
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA2";"Uncorrected";165;0,745;1;0,861134511565761;0,872;0,728739295099706;0,821;0,515
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA2";"Corrected";165;0,745;1;0,861134511565761;0,871;0,752834614016364;0,781;0,515
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA3";"Uncorrected";165;0,745;1;0,861134511565761;0,896;0,737739295099706;0,83;0,576
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA3";"Corrected";165;0,745;1;0,861134511565761;0,876;0,798834614016364;0,827;0,697
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA4";"Uncorrected";165;0,745;1;0,861134511565761;0,922;0,780739295099706;0,873;0,667
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA4";"Corrected";165;0,745;1;0,861134511565761;0,909;0,799834614016364;0,828;0,571
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA5";"Uncorrected";165;0,745;1;0,861134511565761;0,886;0,704739295099706;0,797;0,515
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA5";"Corrected";165;0,745;1;0,861134511565761;0,906;0,795834614016364;0,824;0,576
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA6";"Uncorrected";165;0,745;1;0,861134511565761;0,961;0,771739295099706;0,864;0,576
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA6";"Corrected";165;0,745;1;0,861134511565761;0,852;0,788834614016364;0,817;0,545
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA7";"Uncorrected";165;0,745;1;0,861134511565761;0,873;0,801739295099706;0,894;0,697
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA7";"Corrected";165;0,745;1;0,861134511565761;0,905;0,851834614016364;0,88;0,664
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA8";"Uncorrected";165;0,745;1;0,861134511565761;0,929;0,771739295099706;0,864;0,606
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA8";"Corrected";165;0,745;1;0,861134511565761;0,962;0,747834614016364;0,776;0,506
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA9";"Uncorrected";165;0,745;1;0,861134511565761;0,903;0,778739295099706;0,871;0,667
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA9";"Corrected";165;0,745;1;0,861134511565761;0,878;0,834834614016364;0,863;0,576
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA10";"Uncorrected";165;0,745;1;0,861134511565761;0,876;0,688739295099706;0,781;0,485
"Actitis hypoleucos";"Trondheim";"GLM";"RUN2";"PA10";"Corrected";165;0,745;1;0,861134511565761;0,902;0,805834614016364;0,834;0,545
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA1";"Uncorrected";165;0,745;1;0,861134511565761;0,879;0,743739295099706;0,836;0,576
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA1";"Corrected";165;0,745;1;0,861134511565761;0,895;0,840834614016364;0,869;0,661
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA2";"Uncorrected";165;0,745;1;0,861134511565761;0,905;0,687739295099706;0,78;0,545
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA2";"Corrected";165;0,745;1;0,861134511565761;0,95;0,861834614016364;0,89;0,727
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA3";"Uncorrected";165;0,745;1;0,861134511565761;0,955;0,791739295099706;0,884;0,697
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA3";"Corrected";165;0,745;1;0,861134511565761;0,932;0,768834614016364;0,797;0,545
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA4";"Uncorrected";165;0,745;1;0,861134511565761;0,944;0,817739295099706;0,91;0,667
"Actitis hypoleucos";"Trondheim";"GLM";"RUN3";"PA4";"Corrected";165;0,745;1;0,861134511565761;0,943;0,839834614016364;0,868;0,659
