"Species";"Site";"Model";"CV";"PA";"Group";"Nb Occ.";"Sample Bias";"Jaccard";"Bray-Curtis";"Boyce";"cAUC";"AUC";"TSS"
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,878;0,732230936613056;0,918;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;0,453;0,792053352769679;0,895;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,728;0,679230936613056;0,865;0,667
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;0,694;0,700053352769679;0,803;0,543
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,953;0,742230936613056;0,928;0,817
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;0,824;0,759053352769679;0,862;0,696
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,88;0,714230936613056;0,9;0,733
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;0,907;0,804053352769679;0,907;0,78
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,805;0,705230936613056;0,891;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;0,824;0,753053352769679;0,856;0,644
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,771;0,694230936613056;0,88;0,767
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;0,888;0,796053352769679;0,899;0,8
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,846;0,701230936613056;0,887;0,717
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;0,853;0,739053352769679;0,842;0,696
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,932;0,667230936613056;0,853;0,633
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;0,611;0,762053352769679;0,865;0,695
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,933;0,664230936613056;0,85;0,683
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;0,59;0,821053352769679;0,924;0,767
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,888;0,625230936613056;0,811;0,617
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN1";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;0,786;0,782053352769679;0,885;0,741
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,938;0,658230936613056;0,844;0,667
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;0,71;0,730053352769679;0,833;0,617
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,744;0,753230936613056;0,939;0,833
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;0,767;0,674053352769679;0,777;0,593
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,934;0,713230936613056;0,899;0,717
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;0,656;0,747053352769679;0,85;0,729
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,913;0,712230936613056;0,898;0,733
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;0,761;0,841053352769679;0,944;0,798
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,649;0,694230936613056;0,88;0,733
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;0,628;0,774053352769679;0,877;0,729
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,665;0,639230936613056;0,825;0,683
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;0,873;0,746053352769679;0,849;0,733
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,673;0,736230936613056;0,922;0,8
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;0,705;0,797053352769679;0,9;0,695
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,868;0,730230936613056;0,916;0,767
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;0,703;0,716053352769679;0,819;0,678
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,89;0,660230936613056;0,846;0,683
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;0,893;0,863053352769679;0,966;0,85
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,955;0,693230936613056;0,879;0,7
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN2";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;0,408;0,764053352769679;0,867;0,69
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,889;0,663230936613056;0,849;0,683
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;0,789;0,745053352769679;0,848;0,717
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,901;0,729230936613056;0,915;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;0,74;0,666053352769679;0,769;0,61
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,932;0,755230936613056;0,941;0,85
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;0,629;0,780053352769679;0,883;0,713
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,931;0,648230936613056;0,834;0,683
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;0,687;0,815053352769679;0,918;0,764
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,872;0,735230936613056;0,921;0,767
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;0,622;0,766053352769679;0,869;0,679
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,916;0,684230936613056;0,87;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;0,883;0,777053352769679;0,88;0,767
