"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Schoener_Cor_Cor";"Schoener_Uncor_Cor";"Pearson_Cor_Cor";"Pearson_Uncor_Cor";"Spearman_Cor_Cor";"Spearman_Uncor_Cor";"ROI_Schoener";"ROI_Pearson";"ROI_Spearman";"Schoener_pvalue"
"Alcedo atthis";"Grote Nete";"ANN";193;-0,947;0,798558496274103;0,782049128194479;0,708517385801388;0,676644553187118;0,636996346933481;0,611993469023749;0,0206739620912588;0,0186552579910209;0,0152736308523646;0,00000000189633243137412
"Anthus trivialis";"Grote Nete";"ANN";99;-0,944;0,768675699391263;0,751720031824703;0,552773035413794;0,512492870991721;0,562137124131789;0,508351684268101;0,0220582848917789;0,0259407933441729;0,0344306777124843;0,000000000132926759022274
"Castor fiber";"Grote Nete";"ANN";41;-0,665;0,945972485927544;0,785860463470192;0,988271552324669;0,793131044448891;0,992795323234825;0,680083726150333;0,169256532128795;0,0981458028947916;0,156921081376727;0
"Dryocopus martius";"Grote Nete";"ANN";246;-0,941;0,842514165221447;0,84324528065324;0,756274621387364;0,757527444575799;0,740398175462282;0,743596369469636;-0,000867778207148066;-0,00071334128112873;-0,00183762201802153;0,664088464409284
"Lullula arborea";"Grote Nete";"ANN";83;-0,945;0,701223332628069;0,697824558023501;0,410659726179242;0,386348242415496;0,409592191896563;0,384949491368146;0,00484692172439637;0,0172341233768641;0,0174821488584301;0,121786119379152
"Luscinia megarhynchos";"Grote Nete";"ANN";70;-0,891;0,737735280173695;0,734193294565361;0,619361688393434;0,604571373857463;0,622417301210739;0,607658463968195;0,00480116066497461;0,00913342253431002;0,0090968194382112;0,0809303778666058
"Luscinia svecica";"Grote Nete";"ANN";55;-0,726;0,763140371479846;0,744437995424156;0,734573781115749;0,701906162376437;0,764211013913035;0,727037908082572;0,0245071244487091;0,018833225253929;0,0210706687223388;0,00000819354083972366
"Oriolus oriolus";"Grote Nete";"ANN";65;-0,855;0,746503692026691;0,738698496034566;0,595723411611443;0,592485760926336;0,534116312493161;0,544807900434725;0,0104556696443585;0,00202895480604469;-0,00696921599392172;0,00186972027618235
"Phoenicurus phoenicurus";"Grote Nete";"ANN";63;-0,588;0,718466127001335;0,707169911856748;0,234767271964924;0,266674787870648;0,238920910496364;0,256005591453591;0,0157226829770447;-0,0258409148267661;-0,0137899690064817;0,0000251944602783272
"Poecile montanus";"Grote Nete";"ANN";107;-0,796;0,813816161333172;0,81260408691347;0,605936078515485;0,632218821951372;0,585638410321009;0,603100536767171;0,00148937128222754;-0,0163659959991575;-0,0110126787623832;0,326299168162549
"Sciurus vulgaris";"Grote Nete";"ANN";192;0,1;0,829695558489476;0,837534063160181;0,301592058602541;0,287060141620926;0,289220416969101;0,294489354584565;-0,00944744682612908;0,0111647246812628;-0,0040869176023844;0,999999925969996
"Epidalea calamita";"Thau";"ANN";58;0,199;0,798976811377559;0,791987396764358;0,487621048245878;0,417503202452114;0,480117991259271;0,405048258063466;0,00874795677880823;0,0471342119529991;0,0507187492072416;0,00337352340289297
"Natrix natrix";"Thau";"ANN";14;-0,459;0,665524142713055;0,621278312624522;0,426333761825636;0,230792213946532;0,439947178863622;0,225768871607945;0,0664826822182026;0,137093822717076;0,148740391591796;0,00000000000000054034929393696
"Plecotus austriacus";"Thau";"ANN";50;0,053;0,832979854193879;0,781003044942969;0,611593059519665;0,305230721441521;0,554804280436161;0,293065766359722;0,0623986390417704;0,190099067670008;0,168341776112821;0,00000000000000000000000000000000000000000000000000000000000000000213440567589405
"Rhinolophus ferrumequinum";"Thau";"ANN";35;-0,242;0,823644372264208;0,799535241712223;0,587776857161638;0,44182918326256;0,552273507256213;0,435868850240158;0,0292712866910127;0,0919195120150443;0,0749897852871375;0,000000000041335638139608
"Tarentola mauritanica";"Thau";"ANN";93;0,743;0,778346494832712;0,767931955299817;0,678207611412118;0,667097127219207;0,667602614753431;0,6572411201796;0,0133803384508498;0,0066204467893946;0,00621340748818826;0,000233881061381033
"Timon lepidus";"Thau";"ANN";51;0,551;0,82458242157123;0,777696063009255;0,717959051759073;0,554904994990814;0,701338383595387;0,576343882364869;0,0568607301531283;0,0949114919830612;0,0734683367140466;0,0000000000000000000000000000000000000000000000300290230083491
"Triturus marmoratus";"Thau";"ANN";20;0,302;0,694012954758339;0,554935448526436;0,642925688301671;0,173592538839844;0,658929082282295;0,20260826731826;0,200396124133347;0,28566912843574;0,275069513120021;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000298610391445435
"Accipiter gentilis";"Trondheim";"ANN";200;0,833;0,830143518155302;0,802556856942638;0,75385615194024;0,7566795664493;0,636187515074825;0,669949422734354;0,0332311950998132;-0,00160983242892359;-0,0206344977873671;0,0000000000000000000000000000017690077795109
"Accipiter nisus";"Trondheim";"ANN";309;0,945;0,840864881105464;0,826066140183929;0,73538661067468;0,760237199960432;0,679973927509024;0,712265548156181;0,01759942798667;-0,0143199153046883;-0,0192215010711727;0,0000000000202029500484121
"Actitis hypoleucos";"Trondheim";"ANN";165;0,745;0,804466744213846;0,801797128045877;0,717699985510061;0,714325168539271;0,64485782320611;0,624934580203175;0,00331849164327838;0,00196473016199507;0,0121124407969198;0,212414914409921
"Aegithalos caudatus";"Trondheim";"ANN";146;0,363;0,790467903712605;0,772111110931506;0,720808446504159;0,711800997720108;0,650423563455419;0,652161058068574;0,0232226921483873;0,0052344285050144;-0,00105275679021318;0,000000000000908825028628089
"Alauda arvensis";"Trondheim";"ANN";42;0,781;0,727625441832073;0,6542355936453;0,77449529094968;0,710228170974536;0,80605608846108;0,717998201052546;0,100862124889401;0,0362171262459362;0,0487570059264143;0,000000000000000000000000000000000000648970332948535
"Anas penelope";"Trondheim";"ANN";81;0,739;0,683468684839301;0,664206051646528;0,554076348478704;0,576004433619843;0,484413233998262;0,531354789729832;0,028183636822077;-0,0141100436684495;-0,0316229703807838;0,0000252237915745278
"Anthus pratensis";"Trondheim";"ANN";169;0,886;0,812928372750544;0,743834360303829;0,583788968525463;0,30415759680773;0,536730887856823;0,245526621248004;0,0849939733471654;0,176558479238604;0,189495941618602;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264969212496297
"Anthus trivialis";"Trondheim";"ANN";150;0,477;0,841426009602014;0,769265206155351;0,397128972810484;0,0608507115262402;0,384467910265722;0,0595976375095114;0,0857601293794027;0,240692353983456;0,23465352309528;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000527055890473077
"Asio flammeus";"Trondheim";"ANN";16;0,1;0,737487841986356;0,695670447314172;0,388183655626749;0,384469731967801;0,385023618636924;0,37483411865414;0,0567024868634488;0,00267538350843887;0,00735691424007098;0,0000000000000136436534491283
"Aythya fuligula";"Trondheim";"ANN";113;0,288;0,919272452576766;0,706998720357809;0,925996426870319;0,491316464213978;0,753456053097899;0,25421272114295;0,230914928021549;0,225690949677763;0,284719614770451;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000870543667972276
"Bombycilla garrulus";"Trondheim";"ANN";445;0,893;0,844266962944881;0,82118809301618;0,805724101720104;0,787294797162391;0,661573808313203;0,687734546881022;0,0273359860584854;0,0102060467267158;-0,015744554010741;0,000000000000000000000000000000240000853735434
"Bucephala clangula";"Trondheim";"ANN";277;0,688;0,85941654190543;0,674036061508593;0,807061204168052;0,338141065386175;0,758160592883852;0,130972762005785;0,215705040987257;0,259493224524048;0,356729546445647;0
"Calidris pugnax";"Trondheim";"ANN";23;0,154;0,93286728973507;0,919889632706192;0,972808793085442;0,968351531085193;0,953265989490922;0,939357994157885;0,0139115790334585;0,00225934820235597;0,00712037961438236;0,0000946760475462646
"Carduelis flammea";"Trondheim";"ANN";366;0,89;0,833533276516539;0,783815323760572;0,681792212688819;0,548484777138169;0,602527477078162;0,512546465669967;0,0596472320382281;0,0792651045384024;0,0561494343749126;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000457692867227297
"Certhia familiaris";"Trondheim";"ANN";216;0,877;0,904326304612954;0,823207806987654;0,8413025580037;0,717811554696319;0,834319952377157;0,752010014847345;0,0897004733927519;0,0670671980390158;0,044872181335183;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184611129510182
"Charadrius hiaticula";"Trondheim";"ANN";45;0,842;0,904594710178583;0,616883212969432;0,92479880272728;0,356637347177747;0,870008308801109;0,273264658359982;0,318055692755877;0,295179659684168;0,319112833687733;0
"Cinclus cinclus";"Trondheim";"ANN";135;0,73;0,810482166719745;0,607825954749009;0,728619724307163;0,260256852370214;0,741254478096037;0,242173057182996;0,250044011197611;0,270946157417399;0,28662175873268;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035354665687294
"Coccothraustes coccothraustes";"Trondheim";"ANN";150;0,502;0,810430557424669;0,78821045355941;0,70645531391617;0,730698437682207;0,61528759153161;0,656483041458422;0,027417653075506;-0,0142067146841374;-0,0255034769924477;0,00000000000000262849524888959
"Cygnus cygnus";"Trondheim";"ANN";194;0,944;0,78160949959297;0,73054063402421;0,680946301634649;0,656353495864155;0,657464190056705;0,556440363386648;0,0653380819902444;0,0146303339652068;0,0609508351831127;0,00000000000000000000000000000000000000000000000000000000000000000000000441230090998362
"Delichon urbicum";"Trondheim";"ANN";109;0,841;0,74077952392645;0,680519079312793;0,697237459876692;0,55617027479376;0,541779406318967;0,472088249452234;0,0813473411012363;0,0831157621828475;0,045201769190265;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000363595295278992
"Dendrocopos major";"Trondheim";"ANN";485;0,828;0,921121116354531;0,851791371611035;0,91209434451083;0,76156406818081;0,890343979698922;0,768740050193558;0,0752666978452068;0,0787253394489432;0,0643289955750443;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000248346109288026
"Dendrocopos minor";"Trondheim";"ANN";62;0,743;0,712899139867851;0,616531407512947;0,665772374974945;0,470384752577749;0,562571735940727;0,29093305558292;0,135177231905157;0,117295511279046;0,173840774224852;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000474207723581244
"Dryocopus martius";"Trondheim";"ANN";195;0,711;0,861720666151716;0,777505995925398;0,613334607269383;0,302681456045255;0,630256462484121;0,307667668566399;0,0977285024419862;0,192553454084716;0,197876101914771;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000293101177644693
"Emberiza citrinella";"Trondheim";"ANN";447;0,86;0,831115146191124;0,779835206210434;0,678913168157111;0,613106345097218;0,640906682865016;0,568624123767949;0,0617001629866784;0,0391960848887303;0,0440503776673405;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000568293060245146
"Emberiza schoeniclus";"Trondheim";"ANN";55;0,731;0,918752087156854;0,782064574643769;0,907387574300788;0,388439153299726;0,873852188757299;0,267079770748258;0,148775185845917;0,272072874958986;0,323810181854013;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000465074133555288
"Eptesicus nilssonii";"Trondheim";"ANN";13;0,233;0,737620674847443;0,684672453913451;0,217340399579731;-0,0478715648180329;0,172632036042644;-0,0932697372974492;0,0717824523356033;0,217861794851567;0,226756361046939;0,000000000000931430448927248
"Erithacus rubecula";"Trondheim";"ANN";599;0,923;0,911774180920944;0,884215534616265;0,888221369734241;0,876191391223808;0,849424249058062;0,862893446609532;0,0302252979754737;0,00637106363864854;-0,0072829138897308;0,000000000000000000000000000000000000000000000000000000535678021075848
"Ficedula hypoleuca";"Trondheim";"ANN";185;0,838;0,806155435867343;0,783227069561894;0,412871338370345;0,46103408829589;0,396558470760828;0,44536818110389;0,028441619674475;-0,0340885603788227;-0,0349499941212422;0,0000000000158424162886415
"Gallinago gallinago";"Trondheim";"ANN";70;0,835;0,843856745837161;0,841243671690665;0,486474135698607;0,513048689535048;0,470399588519698;0,514078667113394;0,00309658500614715;-0,0178775756659579;-0,0297055840702927;0,210993448543358
"Garrulus glandarius";"Trondheim";"ANN";230;0,892;0,856366404223034;0,789789900421126;0,567736859514764;0,357617887814915;0,542982222091933;0,337673766773928;0,077743012189171;0,134026938529011;0,133059507995921;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103192777433751
"Gavia arctica";"Trondheim";"ANN";49;0,064;0,711916373358402;0,540317473291797;0,653482346743011;0,29278089973235;0,427730577533577;0,151798574506844;0,241038001776954;0,218146536442413;0,193266157753243;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175390268033571
"Gavia stellata";"Trondheim";"ANN";99;0,411;0,787420094688269;0,801618187200037;0,528975125836127;0,539592631838884;0,454423579842501;0,387939660566551;-0,0180311533926359;-0,00694419799468695;0,0457115246186736;0,999984891814239
"Glaucidium passerinum";"Trondheim";"ANN";40;-0,289;0,836757190045758;0,808158600394047;0,620686090737862;0,576928778747983;0,610364155487934;0,555797129472423;0,0341778833715761;0,0269992518847113;0,0338848985364911;0,00000000000216771273023586
"Grus grus";"Trondheim";"ANN";171;0,662;0,804962797823872;0,790093141982239;0,366820006177189;0,454609821401344;0,360076836330732;0,432693053528785;0,0184724758483635;-0,0642292436658804;-0,0533912608893185;0,000000925757201081963
"Haematopus ostralegus";"Trondheim";"ANN";123;0,511;0,858732132795102;0,648466450884528;0,910575935759554;0,573531512176321;0,931099507031621;0,717533359976632;0,244855961341725;0,176409854889772;0,110593030694348;0
"Hippolais icterina";"Trondheim";"ANN";133;0,776;0,81799281483379;0,779267400321526;0,724647013622582;0,705538403108368;0,684697392603522;0,68893632963031;0,0473419983770064;0,0110797226118036;-0,00251614150137522;0,00000000000000000000000000000000000000839630107574452
"Hirundo rustica";"Trondheim";"ANN";279;0,8;0,83277546268212;0,797047175116874;0,69980420924013;0,58745770677335;0,681777071483435;0,508776202692439;0,0429026660441897;0,0660937900118522;0,102867895944376;0,00000000000000000000000000000380423080420255
"Lanius excubitor";"Trondheim";"ANN";55;0,808;0,826665094238782;0,745538555720571;0,558363118199188;0,360504680806848;0,545515140138608;0,354442888656224;0,0981371284255258;0,126965554485774;0,123630138922643;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997193087991815
"Lissotriton vulgaris";"Trondheim";"ANN";16;-0,063;0,675733564347839;0,61156932311368;0,317909744751731;0,123257945389844;0,299519649500043;0,120422287814505;0,0949549417396251;0,14769736708985;0,137818125146811;0,0000000000000000000000000000000278234984028368
"Loxia curvirostra";"Trondheim";"ANN";171;0,89;0,915079215450747;0,697178737826142;0,732359682775598;0,187166012676446;0,613491309296409;0,174424026324349;0,238121983261605;0,314711589931277;0,27212249637931;0
"Loxia pytyopsittacus";"Trondheim";"ANN";34;-0,594;0,928702842321974;0,775249800289838;0,886211113642278;0,519044607950871;0,707115930528765;0,475960957198542;0,165233737896686;0,194658224117028;0,13540672264632;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164061593987194
"Luscinia svecica";"Trondheim";"ANN";11;-0,14;0,784666064584492;0,787559811894096;0,637893813903266;0,684489459738106;0,635085339236317;0,687995167204913;-0,00368787110875832;-0,0284485144514943;-0,0323590620617444;0,644915332282273
"Mergus merganser";"Trondheim";"ANN";155;0,582;0,841172375157269;0,714893920057915;0,814114220148979;0,541531969729525;0,835089476350899;0,441829814558004;0,150121971225868;0,150256388154583;0,214299992921815;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000139176842886624
"Mergus serrator";"Trondheim";"ANN";104;0,174;0,87645427739552;0,854446333883177;0,840580585793297;0,822946771273912;0,787337230654343;0,765857587596189;0,0251102015016031;0,00958057183450348;0,0120176778560645;0,00000000103478309193093
"Motacilla alba";"Trondheim";"ANN";372;0,875;0,837247694995161;0,788620068545701;0,740659436564927;0,623283420362909;0,715066666856259;0,567621833561072;0,0580803348162598;0,0674319247845814;0,0859703218216323;0,000000000000000000000000000000000000000000000000000000000000000227425768373279
"Rana temporaria";"Trondheim";"ANN";22;0,344;0,802918291085138;0,657346614652875;0,827871459396523;0,476731869994482;0,774078113060133;0,561305144864901;0,181303226054951;0,19210299914523;0,11993438543031;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000334667456387964
"Alcedo atthis";"Grote Nete";"CTA";193;-0,947;0,818107061920247;0,800389428926434;0,693472506293983;0,679439350935064;0,653452820967009;0,642575996027614;0,0216568635310717;0,00828661540518805;0,00657824934674217;0,00000119564363008085
"Anthus trivialis";"Grote Nete";"CTA";99;-0,944;0,664454967408875;0,674924159832078;0,417061370299756;0,409968348248684;0,355049376477373;0,346154144953008;-0,0157560601345621;0,00500544450631067;0,00656450730045628;0,946571180768922
"Castor fiber";"Grote Nete";"CTA";41;-0,665;0,841226992168704;0,829307192283273;0,854617369235415;0,854451476992019;0,86108507029193;0,868476022053765;0,0141695404408046;0,0000894482312887332;-0,00397131323001593;0,0133241109641257
"Dryocopus martius";"Grote Nete";"CTA";246;-0,941;0,835586927858268;0,830419174759902;0,732054608234751;0,733027028043062;0,708080467699521;0,717729740365989;0,00618457867885973;-0,000561425606149033;-0,00564919091865986;0,0438612110201011
"Lullula arborea";"Grote Nete";"CTA";83;-0,945;0,660716193306234;0,669521892070999;0,439917681586754;0,438171501110904;0,2845347131586;0,289339310255367;-0,0133275055976773;0,00121269465482675;-0,00374034041085056;0,923501951225559
"Luscinia megarhynchos";"Grote Nete";"CTA";70;-0,891;0,741343997376055;0,724172988672116;0,506097425025107;0,498652343247392;0,441881838095057;0,457315414626312;0,0231619987006227;0,00494329361036578;-0,0107037734462659;0,00203366713364843
"Luscinia svecica";"Grote Nete";"CTA";55;-0,726;0,697673381914603;0,702472986118133;0,659993338892593;0,656179377230924;0,60272038019553;0,596490087994293;-0,00687944291404497;0,00229757648558628;0,00388732325252905;0,813229611286747
"Oriolus oriolus";"Grote Nete";"CTA";65;-0,855;0,7133476090711;0,687239517341486;0,478128954123257;0,417426882616954;0,485396361528021;0,43204341722385;0,0365993961395783;0,0410668306963166;0,0359183216587975;0,00000000181594417497525
"Phoenicurus phoenicurus";"Grote Nete";"CTA";63;-0,588;0,70243961848383;0,686952980650041;0,380315331322564;0,301489120209302;0,338679185713521;0,285703437238912;0,0220469310475633;0,0571073937414966;0,0395731472035797;0,0138050641342264
