"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Schoener_Cor_Cor";"Schoener_Uncor_Cor";"Pearson_Cor_Cor";"Pearson_Uncor_Cor";"Spearman_Cor_Cor";"Spearman_Uncor_Cor";"ROI_Schoener";"ROI_Pearson";"ROI_Spearman";"Schoener_pvalue"
"Alteragris belgiumensis";"Grote Nete";"ANN";100;0,317;0,949160314755808;0,931187016434561;0,980877399131208;0,964917514169355;0,914889343315937;0,903093110761873;0,0189359985260983;0,00805697766497452;0,00616026852686768;0,00000000000000000000000000002275126990759
"Fugiagrisbelgiumensis";"Grote Nete";"ANN";300;0,89;0,977050668577726;0,968835467996418;0,998865493022753;0,997373594287792;0,924266278591213;0,91781784374738;0,00840816228422128;0,000746372750026503;0,00335111357278137;0,0000000000000000000000147557665907109
"Philocourdogenos belgiumensis";"Grote Nete";"ANN";300;0,961;0,949488935509452;0,877835895352526;0,969542424911546;0,855148155089003;0,830644998669811;0,751962523836474;0,0754648500653459;0,0580816479887098;0,04298073896933;0
"Philocourdos belgiumensis";"Grote Nete";"ANN";300;0,764;0,940933150415404;0,916612360520146;0,974143480875266;0,93684505788857;0,923859355657346;0,878054055642099;0,0258475215635885;0,0188934711929648;0,0238090689324824;0,0000000000620767323459395
"Philograss belgiumensis";"Grote Nete";"ANN";100;0,62;0,951634625996965;0,881695976534694;0,970881090615184;0,890044339496261;0,93636568448332;0,843660927243432;0,0734931743251788;0,0410155394477354;0,0478756455884126;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000880509176011561
"Philoherbagenos belgiumensis";"Grote Nete";"ANN";80;0,634;0,93248590569606;0,92087999391412;0,980954420093197;0,970574712492766;0,933949708708614;0,926683290477807;0,0124462061153365;0,00523975084693903;0,00375729430713048;0,00000000000275189045339736
"Philoherbas belgiumensis";"Grote Nete";"ANN";80;-0,87;0,841151427980111;0,839548736144956;0,918044948218725;0,923737723215324;0,886411099196709;0,90563128303324;0,00190535471003596;-0,002968009170946;-0,0101887567586492;0,402864485552924
"Alteragris thauensis";"Thau";"ANN";100;0,821;0,826130079261214;0,783702252216247;0,23687939177133;0,179598794221021;0,214377817410857;0,175472644115418;0,0513573202453894;0,0463105763839089;0,0320371244744804;0,000000000000000000000000000000000000000000000000000000785712887208539
"Fugiagristhauensis";"Thau";"ANN";300;0,985;0,962148735959862;0,936037943741167;0,99246634818608;0,969828471969744;0,961176795343405;0,952678922600286;0,0271379998152229;0,0113617357888854;0,0043330477717748;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000896726544605643
"Philocourdogenos thauensis";"Thau";"ANN";300;0,993;0,949458004688805;0,952531294217429;0,988498671473196;0,98921579450708;0,946897352797673;0,946961830068282;-0,00323688832307173;-0,000360635410106988;-0,0000331179610040676;0,993515629277303
"Philocourdos thauensis";"Thau";"ANN";300;0,977;0,95128398041384;0,947624865664136;0,989490332003803;0,986811970888017;0,920490574347141;0,930387924458354;0,00384650096610698;0,00134625490393241;-0,00515355307826893;0,00280072971033931
"Philograss thauensis";"Thau";"ANN";100;0,377;0,909161645969871;0,909968513995605;0,980155468487394;0,980367962942889;0,893006251321523;0,891557445263837;-0,000887485772536651;-0,000107312005989764;0,000765346684235173;0,602927563465788
"Philoherbagenos thauensis";"Thau";"ANN";80;0,627;0,864268842651971;0,842277735909884;0,615335873374735;0,536926395010195;0,589686344691441;0,514641177912052;0,0254447524390776;0,0485406655401815;0,0472075306113019;0,000000000000000000726470964141691
"Philoherbas thauensis";"Thau";"ANN";100;-0,348;0,682870740534736;0,719827799982294;0,589729726855494;0,689300096552299;0,487425637482884;0,599540511242966;-0,0541201390743701;-0,0626335206637647;-0,0753751118273106;0,998947768781519
"Alteragris norwayensis";"Trondheim";"ANN";100;0,945;0,89219736044896;0,90962858577623;0,977832945124277;0,98129514419083;0,860203385030838;0,849244903667282;-0,0195374096584395;-0,00175050126204415;0,00589101248376364;0,99999926667705
"Fugiagrisnorwayensis";"Trondheim";"ANN";300;-0,146;0,892261648976844;0,886201999093295;0,947371271279246;0,948530279497804;0,914763363233633;0,892258667701831;0,00679133737340181;-0,000595165511400712;0,0117532515839431;0,00463747650722049
"Philocourdogenos norwayensis";"Trondheim";"ANN";300;0,809;0,954243323195083;0,801847327589235;0,971944206543467;0,702073358821397;0,862805569764889;0,702967890563722;0,159703496898026;0,136855214679281;0,0858048106552208;0
"Philocourdos norwayensis";"Trondheim";"ANN";300;0,846;0,946801827796953;0,841250378199966;0,980622180930683;0,887837176259459;0,949396320766504;0,881730643005563;0,111482093187956;0,0468463927974516;0,0347110933985627;0
"Philograss norwayensis";"Trondheim";"ANN";100;0,958;0,961804158583333;0,957113715732336;0,994422041148278;0,99190225597312;0,923762361962389;0,932270691624164;0,0048767130076725;0,00126341622944965;-0,00442275502941879;0,000195358307861929
"Philoherbagenos norwayensis";"Trondheim";"ANN";80;0,777;0,895580542794272;0,771148983695119;0,837374428121817;0,324220085595992;0,763515879238487;0,289964340774217;0,138939551668818;0,279286755422179;0,268526948942902;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000345518760872712
"Philoherbas norwayensis";"Trondheim";"ANN";100;0,76;0,892226829760918;0,641838024382027;0,939013734592461;0,749259876207123;0,921234541852541;0,844968186642953;0,280633575484371;0,097861018207393;0,0396965355078661;0
"Alteragris belgiumensis";"Grote Nete";"CTA";100;0,317;0,917915621640049;0,900478535085154;0,90149319481748;0,885613006772225;0,90283250276058;0,893301310052223;0,0189963937248828;0,00835143038562352;0,00500894991783533;0,0000000254967733095404
"Fugiagrisbelgiumensis";"Grote Nete";"CTA";300;0,89;0,913388782666244;0,923963331446245;0,956370339427415;0,961430430971225;0,953782929283141;0,959445651387368;-0,0115772702497318;-0,00258646915761927;-0,00289833738403304;0,999412629327792
"Philocourdogenos belgiumensis";"Grote Nete";"CTA";300;0,961;0,952796441603686;0,915273021685869;0,927847678320645;0,895141558414112;0,910372320295449;0,864698643357952;0,03938240979853;0,0169650954659569;0,0239082593755512;0,0000000000000000000000000000000000000622818602365528
"Philocourdos belgiumensis";"Grote Nete";"CTA";300;0,764;0,963229390608868;0,961252566585171;0,976464192724841;0,975506034394179;0,982563785844031;0,982104977038018;0,00205228790044269;0,000484784057403468;0,000231421964472979;0,0675693048480911
"Philograss belgiumensis";"Grote Nete";"CTA";100;0,62;0,967965632100108;0,896579496434629;0,964780886482669;0,901630532518305;0,947623476787454;0,903418984598724;0,0737486262922366;0,0321411687169936;0,0226966314154544;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000840281609633025
"Philoherbagenos belgiumensis";"Grote Nete";"CTA";80;0,634;0,93072576030041;0,925805003395374;0,957347387687338;0,953669661726063;0,961312403608623;0,958500804883076;0,00528701054051335;0,00187893369588337;0,00143352926355518;0,0144562257869499
"Philoherbas belgiumensis";"Grote Nete";"CTA";80;-0,87;0,739327976567614;0,7721665253024;0,858409702121354;0,870899700255384;0,858409702121354;0,870899700255384;-0,0444167538299333;-0,00672079903574156;-0,00672079903574156;0,999882546679934
"Alteragris thauensis";"Thau";"CTA";100;0,821;0,767287832589016;0,772880567038716;0,559420870797129;0,585415084339453;0,544320046129128;0,564799873622434;-0,00728896538190682;-0,0166691455970039;-0,0132613881071083;0,876158183910971
"Fugiagristhauensis";"Thau";"CTA";300;0,985;0,942364433461418;0,935329943968121;0,953003849465235;0,947781634863699;0,95485473434734;0,950813777115565;0,00746472303444058;0,00267393973799174;0,00206713939443862;0,000164136917055237
"Philocourdogenos thauensis";"Thau";"CTA";300;0,993;0,945643200828751;0,948988392088187;0,964508831967393;0,966586185497147;0,964637626612276;0,966502492084489;-0,00353747719700667;-0,00105744168514283;-0,000949216001440881;0,969803710277535
"Philocourdos thauensis";"Thau";"CTA";300;0,977;0,954909210169504;0,939549982994042;0,981003004535152;0,970385688053694;0,981003004535152;0,971810831381846;0,0160844895115593;0,00535956606686193;0,00464016113668836;0,0000000000726691511006088
